Country,Localite,Category,Value,Date
Guinea,Dinguiraye ,Cases,1,5/1/14
Guinea,Dinguiraye ,Deaths,1,5/1/14
Guinea,Gueckedou,Cases,140,5/1/14
Guinea,Gueckedou,Deaths,99,5/1/14
Guinea,Kissidougou,Cases,6,5/1/14
Guinea,Kissidougou,Deaths,5,5/1/14
Guinea,Macenta,Cases,22,5/1/14
Guinea,Macenta,Deaths,16,5/1/14
Guinea,National,Cases,226,5/1/14
Guinea,National,Confirmed cases,127,5/1/14
Guinea,National,Deaths,149,5/1/14
Guinea,Conakry,Cases,53,5/3/14
Guinea,Conakry,Deaths,24,5/3/14
Guinea,Dabola ,Cases,4,5/3/14
Guinea,Dabola ,Deaths,4,5/3/14
Guinea,Dinguiraye ,Cases,1,5/3/14
Guinea,Dinguiraye ,Deaths,1,5/3/14
Guinea,Gueckedou,Cases,145,5/3/14
Guinea,Gueckedou,Deaths,105,5/3/14
Guinea,Kissidougou,Cases,6,5/3/14
Guinea,Kissidougou,Deaths,5,5/3/14
Guinea,Macenta,Cases,22,5/3/14
Guinea,Macenta,Deaths,16,5/3/14
Guinea,National,Cases,231,5/3/14
Guinea,National,Confirmed cases,127,5/3/14
Guinea,National,Deaths,155,5/3/14
Guinea,Conakry,Cases,53,5/5/14
Guinea,Conakry,Deaths,24,5/5/14
Guinea,Dabola ,Cases,4,5/5/14
Guinea,Dabola ,Deaths,4,5/5/14
Guinea,Dinguiraye ,Cases,1,5/5/14
Guinea,Dinguiraye ,Deaths,1,5/5/14
Guinea,Gueckedou,Cases,149,5/5/14
Guinea,Gueckedou,Deaths,107,5/5/14
Guinea,Kissidougou,Cases,6,5/5/14
Guinea,Kissidougou,Deaths,5,5/5/14
Guinea,Macenta,Cases,22,5/5/14
Guinea,Macenta,Deaths,16,5/5/14
Guinea,National,Cases,235,5/5/14
Guinea,National,Confirmed cases,127,5/5/14
Guinea,National,Deaths,157,5/5/14
Guinea,Conakry,Cases,53,5/7/14
Guinea,Conakry,Deaths,24,5/7/14
Guinea,Dabola ,Cases,4,5/7/14
Guinea,Dabola ,Deaths,4,5/7/14
Guinea,Dinguiraye ,Cases,1,5/7/14
Guinea,Dinguiraye ,Deaths,1,5/7/14
Guinea,Gueckedou,Cases,151,5/7/14
Guinea,Gueckedou,Deaths,108,5/7/14
Guinea,Kissidougou,Cases,6,5/7/14
Guinea,Kissidougou,Deaths,5,5/7/14
Guinea,Macenta,Cases,22,5/7/14
Guinea,Macenta,Deaths,16,5/7/14
Guinea,National,Cases,236,5/7/14
Guinea,National,Confirmed cases,129,5/7/14
Guinea,National,Deaths,158,5/7/14
Guinea,Conakry,Cases,50,5/10/14
Guinea,Conakry,Deaths,24,5/10/14
Guinea,Dabola ,Cases,4,5/10/14
Guinea,Dabola ,Deaths,4,5/10/14
Guinea,Dinguiraye ,Cases,1,5/10/14
Guinea,Dinguiraye ,Deaths,1,5/10/14
Guinea,Gueckedou,Cases,149,5/10/14
Guinea,Gueckedou,Deaths,106,5/10/14
Guinea,Kissidougou,Cases,6,5/10/14
Guinea,Kissidougou,Deaths,5,5/10/14
Guinea,Macenta,Cases,23,5/10/14
Guinea,Macenta,Deaths,17,5/10/14
Guinea,National,Cases,233,5/10/14
Guinea,National,Confirmed cases,129,5/10/14
Guinea,National,Deaths,157,5/10/14
Guinea,Conakry,Cases,50,5/12/14
Guinea,Conakry,Deaths,24,5/12/14
Guinea,Dabola ,Cases,4,5/12/14
Guinea,Dabola ,Deaths,4,5/12/14
Guinea,Dinguiraye ,Cases,1,5/12/14
Guinea,Dinguiraye ,Deaths,4,5/12/14
Guinea,Gueckedou,Cases,163,5/12/14
Guinea,Gueckedou,Deaths,119,5/12/14
Guinea,Kissidougou,Cases,8,5/12/14
Guinea,Kissidougou,Deaths,6,5/12/14
Guinea,Macenta,Cases,22,5/12/14
Guinea,Macenta,Deaths,17,5/12/14
Guinea,National,Cases,248,5/12/14
Guinea,National,Confirmed cases,138,5/12/14
Guinea,National,Deaths,171,5/12/14
Guinea,Conakry,Cases,50,5/23/14
Guinea,Conakry,Deaths,25,5/23/14
Guinea,Dabola ,Cases,4,5/23/14
Guinea,Dabola ,Deaths,4,5/23/14
Guinea,Dinguiraye ,Cases,1,5/23/14
Guinea,Dinguiraye ,Deaths,1,5/23/14
Guinea,Gueckedou,Cases,170,5/23/14
Guinea,Gueckedou,Deaths,121,5/23/14
Guinea,Kissidougou,Cases,8,5/23/14
Guinea,Kissidougou,Deaths,6,5/23/14
Guinea,Macenta,Cases,22,5/23/14
Guinea,Macenta,Deaths,17,5/23/14
Guinea,National,Cases,258,5/23/14
Guinea,National,Confirmed cases,146,5/23/14
Guinea,National,Deaths,174,5/23/14
Guinea,Telimele,Cases,3,5/23/14
Guinea,Telimele,Deaths,0,5/23/14
Guinea,Boffa,Cases,4,5/28/14
Guinea,Boffa,Deaths,0,5/28/14
Guinea,Conakry,Cases,53,5/28/14
Guinea,Conakry,Deaths,27,5/28/14
Guinea,Dabola ,Cases,4,5/28/14
Guinea,Dabola ,Deaths,4,5/28/14
Guinea,Dinguiraye ,Cases,1,5/28/14
Guinea,Dinguiraye ,Deaths,1,5/28/14
Guinea,Gueckedou,Cases,179,5/28/14
Guinea,Gueckedou,Deaths,133,5/28/14
Guinea,Kissidougou,Cases,7,5/28/14
Guinea,Kissidougou,Deaths,5,5/28/14
Guinea,Macenta,Cases,40,5/28/14
Guinea,Macenta,Deaths,23,5/28/14
Guinea,National,Cases,291,5/28/14
Guinea,National,Confirmed cases,172,5/28/14
Guinea,National,Deaths,193,5/28/14
Guinea,Boffa,Cases,4,6/1/14
Guinea,Boffa,Deaths,2,6/1/14
Guinea,Conakry,Cases,56,6/1/14
Guinea,Conakry,Deaths,27,6/1/14
Guinea,Dabola ,Cases,4,6/1/14
Guinea,Dabola ,Deaths,4,6/1/14
Guinea,Dinguiraye ,Cases,1,6/1/14
Guinea,Dinguiraye ,Deaths,1,6/1/14
Guinea,Gueckedou,Cases,190,6/1/14
Guinea,Gueckedou,Deaths,140,6/1/14
Guinea,Kissidougou,Cases,7,6/1/14
Guinea,Kissidougou,Deaths,5,6/1/14
Guinea,Macenta,Cases,44,6/1/14
Guinea,Macenta,Deaths,24,6/1/14
Guinea,National,Cases,328,6/1/14
Guinea,National,Confirmed cases,208,6/1/14
Guinea,National,Deaths,193,6/1/14
Guinea,Telimele,Cases,22,6/1/14
Guinea,Telimele,Deaths,5,6/1/14
Guinea,Boffa,Cases,7,6/3/14
Guinea,Boffa,Deaths,4,6/3/14
Guinea,Conakry,Cases,65,6/3/14
Guinea,Conakry,Deaths,27,6/3/14
Guinea,Dabola ,Cases,4,6/3/14
Guinea,Dabola ,Deaths,4,6/3/14
Guinea,Dinguiraye ,Cases,1,6/3/14
Guinea,Dinguiraye ,Deaths,1,6/3/14
Guinea,Gueckedou,Cases,193,6/3/14
Guinea,Gueckedou,Deaths,143,6/3/14
Guinea,Kissidougou,Cases,7,6/3/14
Guinea,Kissidougou,Deaths,5,6/3/14
Guinea,Macenta,Cases,44,6/3/14
Guinea,Macenta,Deaths,26,6/3/14
Guinea,National,Cases,344,6/3/14
Guinea,National,Confirmed cases,207,6/3/14
Guinea,National,Deaths,215,6/3/14
Guinea,Telimele,Cases,23,6/3/14
Guinea,Telimele,Deaths,5,6/3/14
Guinea,Boffa,Cases,7,6/5/14
Guinea,Boffa,Deaths,6,6/5/14
Guinea,Conakry,Cases,67,6/5/14
Guinea,Conakry,Deaths,29,6/5/14
Guinea,Dabola ,Cases,4,6/5/14
Guinea,Dabola ,Deaths,4,6/5/14
Guinea,Dinguiraye ,Cases,1,6/5/14
Guinea,Dinguiraye ,Deaths,1,6/5/14
Guinea,Gueckedou,Cases,194,6/5/14
Guinea,Gueckedou,Deaths,146,6/5/14
Guinea,Kissidougou,Cases,7,6/5/14
Guinea,Kissidougou,Deaths,5,6/5/14
Guinea,Kouroussa,Cases,1,6/5/14
Guinea,Kouroussa,Deaths,1,6/5/14
Guinea,Macenta,Cases,45,6/5/14
Guinea,Macenta,Deaths,27,6/5/14
Guinea,National,Cases,351,6/5/14
Guinea,National,Confirmed cases,210,6/5/14
Guinea,National,Deaths,226,6/5/14
Guinea,Telimele,Cases,25,6/5/14
Guinea,Telimele,Deaths,7,6/5/14
